FileName, background_texture_name, object_file_name, object_texture_name, X-coord, Y-coord, rotation about X (rx), ry, rz 

(0)woods8602_TL10_01_B00_FACE_31_woods8601.jpg, woods8601.jpg, TL10_01_B00_FACE_31_ICAsum_W_1.obj, woods8602.jpg, -40, -30, 200, 50, 160
(1)woods8602_TL10_01_B00_FACE_32_woods8601.jpg, woods8601.jpg, TL10_01_B00_FACE_32_ICAsum_W_1.obj, woods8602.jpg, 240, 0, 160, 340, 0
(2)woods8602_TL10_01_B00_FACE_33_woods8601.jpg, woods8601.jpg, TL10_01_B00_FACE_33_ICAsum_W_1.obj, woods8602.jpg, 160, 270, 150, 300, 120
(3)woods8602_TL10_01_B00_FACE_34_woods8601.jpg, woods8601.jpg, TL10_01_B00_FACE_34_ICAsum_W_1.obj, woods8602.jpg, -160, -270, 350, 350, 150
(4)woods8602_TL10_01_B00_FACE_35_woods8601.jpg, woods8601.jpg, TL10_01_B00_FACE_35_ICAsum_W_1.obj, woods8602.jpg, 80, 0, 50, 90, -30
(5)woods8602_TL10_01_B00_FACE_36_woods8601.jpg, woods8601.jpg, TL10_01_B00_FACE_36_ICAsum_W_1.obj, woods8602.jpg, -280, -30, 340, 360, -50
(6)woods8602_TL10_01_B00_FACE_37_woods8601.jpg, woods8601.jpg, TL10_01_B00_FACE_37_ICAsum_W_1.obj, woods8602.jpg, 280, 240, 90, 120, 100
(7)woods8602_TL10_01_B00_FACE_38_woods8601.jpg, woods8601.jpg, TL10_01_B00_FACE_38_ICAsum_W_1.obj, woods8602.jpg, 160, -30, 20, 30, 150
(8)woods8602_TL10_01_B00_FACE_39_woods8601.jpg, woods8601.jpg, TL10_01_B00_FACE_39_ICAsum_W_1.obj, woods8602.jpg, 200, 60, 40, 220, -90
(9)woods8602_TL10_01_B00_FACE_40_woods8601.jpg, woods8601.jpg, TL10_01_B00_FACE_40_ICAsum_W_1.obj, woods8602.jpg, -80, -300, 320, 110, 170
